Name,Details,,,State,Price,Subject,URL,,,,,"if u'd like to support us, please check out capplica.com"
Meta,Summer Academy,,,CA,Free,Mixed,https://app.smarterselect.com/programs/93695-Foundation-For-A-College-Education,,,,,
NSLI-Y,National Security Language Initiative,,,All States,Free,Humanities,https://www.nsliforyouth.org/how-to-apply/eligibility/,,,,,
UMD,ESTEEM/SER-Quest Summer Program,,,MD,Free,Engineering,https://eng.umd.edu/minorities/pre-college-programs/esteem-ser-quest,,,,,
UW,NeuroScience Summer Program,,,WA,Free,Medicine,https://neurosurgery.uw.edu/education/summer-student-programs,,,,,
UNO,AMRI Research Program,,,LA,Free,STEM,https://www.uno.edu/amri/summer-outreach/research-program-high-school-students,,,,,
UConn,Research Apprentice Program,,,CT,Free,Medicine,https://health.uconn.edu/hcop/enrichment-programs/high-school-student-research-apprentice-program/,,,,,
UArizona,Med-Start Health Program,,,AZ,Free,Medicine,https://diversity.uahs.arizona.edu/med-start-health-careers-program-0,,,,,
Jackson Laboratory,Summer Student Program,,,CT,Free,Medicine,https://www.jax.org/education-and-learning/high-school-students-and-undergraduates/learn-earn-and-explore,,,,,
Echinacea Project,Research Intern,,,All States,Free,STEM,https://echinaceaproject.org/?s=High%2BSchool%2BResearch%2BIntern,,,,,
Suny Oneonta,BFS Internship,,,NY,Free,STEM,https://suny.oneonta.edu/biological-field-station/internships,,,,,
SanfordHealth,Research Scholars Program,,,SD,Free,Medicine,https://research.sanfordhealth.org/academic-programs/k-12-programs,,,,,
NIH HiSTEP,Scientific Training and Enrichment Program,,,All States,Free,Medicine,https://www.training.nih.gov/research-training/hs/hs-sip/histep/,,,,,
NIH,Student Intern Program,,,All States,Free,Medicine,https://ncifrederick.cancer.gov/careers/student_programs/internships/SIP/Default.aspx,,,,,
Monell Center,Apprenticeship Program,,,All States,Free,Medicine,https://monell.org/science-apprenticeship-program/,,,,,
MD Anderson,High School Summer Program,,,TX,Free,Medicine,https://www.mdanderson.org/education-training/research-training/early-career-pathway-programs/summer-research-programs/programs/high-school-summer-program.html,,,,,
MSGC,MERITS Program,,,ME,Free,Astronomy,https://www.msgc.org/students/internships/highschool/,,,,,
Magee Womens,Summer Internship Program,,,PA,Free,Medicine,https://mageewomens.org/for-researchers/education/high-school-summer-internship-program,,,,,
JBEI,Summer Science Intensive,,,CA,Free,Medicine,https://www.jbei.org/education/research-experiences/iclem-program/,,,,,
GeorgeMason,ASSIP Program,,,VA,Free,Medicine,https://science.gmu.edu/assip,,,,,
Broad Institute,Summer Scholars Program,,,MA,Free,STEM,https://www.broadinstitute.org/partnerships/education/k-12-outreach/broad-summer-scholars-program,,,,,
Children's Hospital,Summer Child Health Internship,,,CO,Free,Medicine,https://www.childrenscolorado.org/research-innovation/training-opportunities/,,,,,
Cincinnati Org,Biomedical Research Internship,,,OH,Free,Medicine,https://www.cincinnatichildrens.org/education/research/high-school/biomedical-research-internship,,,,,
Cincinnati Org,Summer Internship,,,OH,Free,Medicine,https://www.cincinnatichildrens.org/education/research/high-school/summer-internship,,,,,
City of Hope,Summer Student Academy,,,CA,Free,Medicine,https://www.cityofhope.org/academics/irell-and-manella-graduate-school-of-biological-sciences/summer-student-academy,,,,,
 Coriell,Summer Experience,,,NJ,Free,Medicine,https://www.coriell.org/1/About-Us/Education/Summer-Experience,,,,,
BTI,High School Research Internship,,,NY,Free,STEM,https://btiscience.org/education-outreach/high-school-research-internships/apply-for-high-school-research-internships/,,,,,
Harvard,CURE - Summer Only,,,MA,Free,Medicine,https://www.dfhcc.harvard.edu/research/cancer-disparities/students/cure-overview,,,,,
Harvard,YES for CURE,,,MA,Free,Medicine,https://www.dfhcc.harvard.edu/research/cancer-disparities/students/yes-for-cure,,,,,
NYSCamp,Youth Science Camp,,,WV,Free,STEM,https://www.nysacademy.org/programs/nyscamp/2024-nyscamp/,,,,,
CMU,PGSS,,,PA,Free,STEM,https://sciences.pa-gov-schools.org/,,,,,
NYU,Science Explorations Program,,,NY,Free,STEM,https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/simons-nyu-science-explorations-program.html,,,,,
NYU,Urban Journalism Workshop,,,NY,Free,Humanities,https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/NYU-Urban-Journalism-Workshop.html,,,,,
NYU,Dentistry Saturday Academy,,,NY,Free,Medicine,https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/NYU-Dentistry-Saturday-Academy.html,,,,,
Emory,YTI Online,,,GA,Free,Humanities,https://yti.emory.edu/yti-online.html,,,,,
NCSU,NC Youth Institute,,,NC,Free,STEM,https://growforit.ces.ncsu.edu/growforit-programs/nc-youth-institute/,,,,,
NCSU,Howling With Cals,,,NC,Free,Mixed,https://growforit.ces.ncsu.edu/2023/03/howling-with-cals/?src=rss,,,,,
NCSU,Upward Bound Program,,,NC,Free,Mixed,https://trio.dasa.ncsu.edu/upward-bound/,,,,,
OHSU,Ted R. Lilley CURE Program,,,OR,Free,STEM,https://www.ohsu.edu/knight-cancer-institute/ted-r-lilley-cure-program,,,,,
Oregon State,Microbiology Camp,,,OR,Free,STEM,https://stemacademy.oregonstate.edu/high-school-summer-camps,,,,,
ASE ,Apprenticeships in Science & Engineering ,,,OR,Free,STEM,https://www.saturdayacademy.org/ase,,,,,
Binghamton,Upward Bound,,,NY,Free,Mixed,https://www.binghamton.edu/trio/upward-bound/apply.html,,,,,
Binghamton,UBMS Summer Program,,,NY,Free,STEM,"https://www.binghamton.edu/ubms/summer-program.html#:~:text=The%20UBMS%20Summer%20Program%20is,%2C%20activity%2Dbased%20courses%2Fworkshops",,,,,
Binghamton,FtRi Research,,,NY,Free,STEM,https://www.binghamton.edu/first-year-research-immersion/sri/ftri.html,,,,,
Binghamton,Summer Session,,,NY,Free,Mixed,https://www.binghamton.edu/academics/summer/index.html,,,,,
Governor's School,New Jersey Governor’s School in the Sciences,,,NJ,Free,STEM,https://drew.edu/academic/continuing-education-non-degree-programs/summer-programs/governors-school/apply/,,,,,
Governor's School,New Jersey Program in Engineering & Technology,,,NJ,Free,Engineering,https://gset.rutgers.edu/,,,,,
UNLV,Gear Up,,,NV,Free,Mixed,https://www.unlv.edu/caeo/gearup,,,,,
UNLV,TRIO Upward Bound Math & Science,,,NV,Free,Mixed,https://www.unlv.edu/caeo/ubms,,,,,
UNLV,Young Executive Scholars Hospitality and Tourism Program,,,NV,Free,Mixed,https://youngrebels.unlv.edu/programs/young-executive-scholars-hospitality-and-tourism-program/,,,,,
UNLV,ASPIRE Scholars Program,,,NV,Free,Mixed,https://youngrebels.unlv.edu/programs/gear-up-aspire-scholars-program/,,,,,
UNLV,National Summer Transportation Institute,,,NV,Free,Mixed,https://youngrebels.unlv.edu/programs/national-summer-transportation-institute/,,,,,
UNL,DREAMBIG Academy,,,NE,Free,Mixed,https://business.unl.edu/outreach/high-school-programs/dreambig/,,,,,
UNL,Discover Accounting,,,NE,Free,Mixed,https://business.unl.edu/outreach/high-school-programs/discover-accounting/,,,,,
UNL,Discover Actuarial Science,,,NE,Free,STEM,https://business.unl.edu/outreach/high-school-programs/discover-actuarial-science/,,,,,
UNL,Raikes School Summer Camp,,,NE,Free,Computer Science,https://raikes.unl.edu/summer-camp/,,,,,
UNL,High School Scholars,,,NE,Free,Mixed,https://ncpa.unl.edu/high-school-scholars,,,,,
YNS,Emergent Quantum Materials and Technologies,,,NE,Free,STEM,https://yns.nebraska.edu/gain-hands-on-experience-in-stem/apply ,,,,,
YNS,Biomechanics at UNO,,,NE,Free,STEM,https://yns.nebraska.edu/gain-hands-on-experience-in-stem/apply ,,,,,
YNS,Climate Science at UNL,,,NE,Free,STEM,https://yns.nebraska.edu/gain-hands-on-experience-in-stem/apply ,,,,,
UMT,Youth Exchange Program,,,MT,Free,Mixed,https://www.umt.edu/mansfield/high-school/yep/default.php,,,,,
UMT,Big Sky Leadership Forum,,,MT,Free,Mixed,https://www.umt.edu/mansfield/high-school/state-and-local-government-course-for-emerging-leaders/default.php,,,,,
LSU, LSU Summer Scholars Program,,,LA,Free,Mixed,https://www.lsu.edu/universitycollege/ssp/index.php,,,,,
McConnell Center,Young Leaders Academy,,,KY,Free,Mixed,https://docs.google.com/forms/d/e/1FAIpQLSeHslT_1rEZ5Byp8Hq1_1Rb_qj1VdMn57RbwLN0EqdLbFXFqA/viewform,,,,,
