Pre-college,,,,,,,,,,,,,,,,,,
Name,Organization,url,Fee,College Credit?,Application deadline,Eligibility,,,,,,,,Requirement ,,,,Area of interest 
,,,,,,Grade(min),Grade(max),Ages (min),Ages (max),Nationality,Region,GPA (min),Please put this information into left columns!!,Letter of recommendation,Essay,Transcript ,,
Boston University Summer Journalism Academy (Journalism Track),Boston univeristy,https://combeyond.bu.edu/workshop/bu-summer-journalism-academy-online/,1200,,2021-06-11 0:00:00,,,14,18,,,,Students ages 14 - 18,,,,,
Columbia Summer Journalism Workshop,Columbia scholastic press association,http://www.cvent.com/events/cspa-s-virtual-summer-journalism-workshop-2021/event-summary-d08916a42cfa48a7b723c6a92e5ff365.aspx,849,,2021-06-14 0:00:00,9,12,,,,,,high school students,,,,,
Uc San Diego: Sally Ride Science Junior Academy,UC San Diego,https://sallyridescience.ucsd.edu/junior-academy/,175,,2021-06-24 0:00:00,10,12,,,,,,grades 10th-12th,,,,,
Uvm Pre-college Programs,university of vermont,https://learn.uvm.edu/pre-college/summer-academy/,2318,,2021-06-25 0:00:00,,,,,,,,-,,,,,
Uc San Diego Extension Pre-college Programs,UC San Diego,https://extension.ucsd.edu/courses-and-programs/pre-college,200,,2021-06-28 0:00:00,10,12,,,,,,grades 10th-12th,,,,,
University of Rochester: Pre-college Programs,university of rochester,https://enrollment.rochester.edu/precollege/applying/,500,,2021-07-01 0:00:00,9,12,,,,,,grades 9th-12th,Y,Y,Y,transcript; essay; recommendation letter,
Yale Young Global Scholars,yale university,globalscholars.yale.edu,3500,,2022-01-12 0:00:00,10,11,16,,,,,grades 10-11th; ages 16 or older,,,,activity lists; essays,
Princeton University Summer Journalism Program,Princeton university,https://psjp.princeton.edu,0,,2022-03-15 0:00:00,11,11,,,US,,3.5,high school junior; US residents; GPA 3.5,,,,,
Auburn Engineering Camp,auburn university,http://www.eng.auburn.edu/outreach/k-12/engineering-summer-camp/index.html,,,2022-04-01 0:00:00,9,12,,,,,,grades 9th-12th,,,,,
Boston University: Academic Immersion (Aim)—introduction to Medicine,Boston university,https://www.bu.edu/summer/high-school-programs/academic-immersion/how-to-apply/,4940,,,,,16,18,,,,ages 16-18,,Y,Y,transcript; writing sample and more,
Education Unlimited: Academic & Creative Arts Camps,education unlimited,https://www.educationunlimited.com,995,,,4,12,,,,,,grades 4th-12th,,,,,
Summer Discovery: U Michigan & Ucla,U Michigan & UCLA,https://www.summerdiscovery.com/u-michigan-and-ucla,3699,,,9,12,14,18,,,,grades 9th-12th; ages 14-18,,,,,
Summer Discovery: Ucla Anderson Business,UCLA,https://www.summerdiscovery.com/ucla-anderson-business,3699,,,9,12,14,18,,,,grades 9th-12th; ages 14-18,,,,,
Summer Discovery: University of Colorado Boulder - Stem,University of Colorado Boulder,https://www.summerdiscovery.com/u-colorado-boulder,2699,,,9,12,14,18,,,,grades 9th-12th; ages 14-18,,,,,
Summer Discovery: University of Michigan,university of michigan,https://www.summerdiscovery.com/u-michigan,2599,,,9,12,14,18,,,,grades 9th-12th; ages 14-18,,,,,
University of Pennsylvania – Leadership in the Business World,University of Pennsylvania,www.wharton.upenn.edu,585,,,,,,,,,,,,,,,
Us Performing Arts Camps,Stanford university and more,https://usperformingarts.com,995,,,,,12,18,,,,ages 12-18,,,,,
Parsons Online Summer Intensive Studies: Pre-college,parsons school,https://cpe.newschool.edu/youth-and-pre-college/parsons-academy-summer-programs/,2750,,,10,12,16,18,,,,grades 10th-12th; ages 16-18,,,,,
North Carolina State University:  Pre-college Summer Programs,North Carolina State University,https://emas.ncsu.edu/precollege/programs/high-school-students,,,,9,12,,,,,,grades 9th-12th,,,,,
Uc Davis Pre-college Program,UC Davis,https://precollege.ucdavis.edu/,695,,,7,12,,,,,,grades 7th-12th,,,,,
Uc San Diego Academic Connections,UC San Diego,https://academicconnections.ucsd.edu/,1500,,,10,12,,,,,,grades 10th-12th,,,,,
University of South Florida Pre-college: Summer Programs for High School Students,university of south florida,https://precollege.usf.edu/summer-programs?utm_campaign=Pre-College,1199,,,,,,,,,,,,,,,
